"Kerncijfers wijken en buurten 2015"
"Onderwerpen";"Regioaanduiding";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen"
"Onderwerpen";"Codering";"Personenauto's";"Personenauto's";"Personenauto's";"Personenauto's";"Personenauto's";"Personenauto's";"Personenauto's";"Bedrijfsmotorvoertuigen";"Motortweewielers"
"Onderwerpen";"Codering";"Personenauto's totaal";"Personenauto's; leeftijd";"Personenauto's; leeftijd";"Personenauto's; brandstoftype";"Personenauto's; brandstoftype";"Personenauto's per huishouden";"Personenauto's naar oppervlakte";"Bedrijfsmotorvoertuigen";"Motortweewielers"
"Onderwerpen";"Codering";"Personenauto's totaal";"Personenauto's; jonger dan 6 jaar";"Personenauto's; 6 jaar en ouder";"Personenauto's; brandstof benzine";"Personenauto's; overige brandstof";"Personenauto's per huishouden";"Personenauto's naar oppervlakte";"Bedrijfsmotorvoertuigen";"Motortweewielers"
"Wijken en buurten";"code";"aantal";"aantal";"aantal";"aantal";"aantal";"per huishouden";"per km²";"aantal";"aantal"
"Wijk 14 Beekbergen en omgeving";"WK020014";"2200";"600";"1600";"1795";"400";"1.2";"87";"260";"220"
"Beekbergen";"BU02001401";"1275";"350";"930";"1100";"175";"1.2";"1168";"115";"110"
"Bosgebied Beekbergen-West";"BU02001402";"240";"60";"175";"175";"65";"1.6";"29";"55";"25"
"Agrarisch gebied Beekbergen";"BU02001403";"195";"55";"140";"160";"35";"1.4";"59";"25";"35"
"Bosgebied Beekbergen-Zuid";"BU02001404";"490";"135";"355";"365";"125";"1.3";"39";"65";"55"
"Wijk 15 Lieren en omgeving";"WK020015";"715";"200";"515";"540";"175";"1.5";"107";"145";"80"
"Lieren";"BU02001501";"355";"105";"250";"280";"75";"1.4";"779";"50";"45"
"Agrarisch gebied Lieren en Oosterhuizen";"BU02001502";"280";"75";"210";"210";"70";"1.5";"86";"70";"20"
"Bosgebied Oosterhuizen";"BU02001503";"80";"25";"55";"50";"30";".";".";"25";"10"
"Wijk 16 Klarenbeek en omgeving";"WK020016";"1085";"230";"855";"850";"235";"1.5";"46";"365";"140"
"Wolthuis";"BU02001601";"170";"40";"125";"125";"45";"1.6";"25";"105";"20"
"Klarenbeek";"BU02001602";"280";"75";"200";"240";"40";"1.2";"756";"60";"30"
"De Hooilanden";"BU02001603";"515";"90";"425";"400";"110";"1.8";"37";"165";"70"
"De Hooilanden en Oosterhuizen";"BU02001604";"125";"25";"100";"85";"40";"1.5";"43";"35";"20"
"Wijk 17 Wenum, Wiesel en Beemte";"WK020017";"1880";"495";"1385";"1425";"455";"1.6";"44";"575";"175"
"Wenum";"BU02001701";"255";"65";"190";"205";"45";"1.8";"313";"80";"20"
"Beemte";"BU02001702";"75";"15";"60";"55";"20";".";".";"20";"5"
"Bosgebied Wiesel";"BU02001703";"0";"0";"0";"0";"0";".";".";"0";"0"
"Agrarisch gebied Wiesel";"BU02001704";"600";"190";"410";"445";"155";"1.5";"97";"130";"60"
"Agrarisch gebied Wenum";"BU02001705";"440";"130";"310";"325";"115";"1.4";"67";"220";"40"
"Agrarisch gebied Beemte en Broekland";"BU02001706";"510";"95";"415";"395";"115";"1.8";"41";"120";"50"
"Arnhem";"GM0202";"61110";"17590";"43520";"48575";"12535";"0.8";"624";"5880";"4420"
"Centrum";"WK020201";"1675";"480";"1195";"1305";"370";"0.5";"1578";"225";"130"
"Markt";"BU02020100";"335";"95";"235";"265";"70";"0.4";"986";"90";"15"
"Weverstraat";"BU02020101";"580";"135";"445";"485";"95";"0.5";"3146";"50";"40"
"Rijnstraat";"BU02020102";"240";"55";"185";"185";"55";"0.3";"1871";"30";"30"
"Janssingel";"BU02020103";"95";"45";"50";"60";"30";"0.9";"1366";"10";"10"
"Stationsplein";"BU02020104";"165";"80";"90";"100";"65";"0.9";"1029";"30";"5"
"Utrechtsestraat";"BU02020170";"265";"70";"195";"210";"55";"0.4";"1453";"20";"25"
"Spijkerkwartier";"WK020202";"1850";"380";"1470";"1510";"340";"0.4";"3616";"160";"165"
"Hommelstraat";"BU02020210";"395";"95";"300";"330";"70";"0.4";"3447";"40";"30"
"Spijkerbuurt";"BU02020211";"830";"160";"675";"680";"150";"0.4";"3623";"60";"80"
"Boulevardwijk";"BU02020212";"620";"125";"495";"500";"120";"0.5";"3722";"60";"55"
"Arnhemse broek";"WK020203";"3435";"1710";"1725";"1620";"1815";"1.1";"792";"1065";"170"
"Statenkwartier";"BU02020314";"650";"105";"545";"540";"110";"0.5";"1562";"50";"45"
"Arnhemse Broek";"BU02020320";"875";"140";"740";"665";"210";"0.6";"3719";"60";"60"
"Van Verschuerbuurt";"BU02020321";"110";"10";"100";"95";"15";"0.4";"2240";"10";"10"
"Industrieterrein";"BU02020322";"1440";"1225";"215";"135";"1305";".";".";"735";"60"
"Bij de John Frostbrug";"BU02020338";"150";"90";"55";"30";"120";".";".";"140";"0"
"Nieuwe Kadekwartier";"BU02020339";"210";"140";"70";"150";"55";"2.0";"849";"65";"0"
"Presikhaaf West";"WK020204";"2595";"605";"1990";"2060";"530";"0.6";"1816";"310";"145"
"Presikhaaf I";"BU02020423";"725";"170";"550";"580";"145";"0.6";"2075";"55";"30"
"Presikhaaf II";"BU02020424";"330";"50";"280";"250";"85";"0.5";"1271";"25";"15"
"Presikhaaf III";"BU02020425";"1540";"380";"1160";"1235";"305";"0.7";"1880";"230";"100"
"Presikhaaf Oost";"WK020205";"2945";"880";"2065";"2435";"510";"0.8";"894";"215";"205"
"Over het Lange Water";"BU02020526";"2075";"550";"1525";"1785";"290";"0.8";"1995";"100";"140"
"Elsweide";"BU02020527";"320";"100";"220";"275";"45";"1.1";"903";"10";"25"
"Winkelcentrum";"BU02020528";"410";"105";"305";"330";"80";"0.6";"816";"30";"40"
"IJsseloord";"BU02020529";"140";"125";"10";"45";"95";".";".";"70";"0"
"St. Marten/Sonsbeek";"WK020206";"1555";"275";"1280";"1250";"305";"0.6";"5601";"115";"170"
"St. Marten";"BU02020630";"465";"75";"390";"385";"75";"0.5";"4122";"45";"60"
"Graaf Ottoplein e.o.";"BU02020631";"1090";"200";"890";"865";"230";"0.6";"6609";"70";"105"
"Klarendal";"WK020207";"2455";"440";"2010";"1990";"460";"0.6";"3584";"210";"190"
"Klarendal Zuid";"BU02020732";"675";"105";"565";"545";"125";"0.5";"4246";"60";"45"
"Klarendal Noord";"BU02020733";"700";"75";"620";"570";"130";"0.5";"3628";"55";"45"
"Onder de Linden";"BU02020734";"525";"135";"390";"435";"90";"0.7";"3387";"25";"35"
"St. Janskerkstraat e.o.";"BU02020735";"555";"120";"435";"440";"115";"0.7";"3119";"70";"65"
"Velperweg e.o.";"WK020208";"3555";"1070";"2485";"2830";"730";"0.9";"1600";"175";"255"
"Velperweg Noord";"BU02020840";"415";"155";"260";"310";"110";"0.7";"2364";"25";"35"
"Molenbeke";"BU02020841";"460";"150";"310";"380";"80";"0.9";"2166";"15";"40"
"Terrein ENKA";"BU02020842";"80";"30";"50";"60";"20";"1.1";"398";"5";"10"
"Plattenburg";"BU02020843";"745";"200";"540";"600";"145";"0.7";"2827";"65";"75"
"Angerenstein";"BU02020844";"930";"260";"670";"735";"195";"1.2";"1532";"25";"45"
"Paasberg";"BU02020845";"930";"275";"655";"745";"185";"1.1";"1209";"35";"55"
"Alteveer/Cranevelt";"WK020209";"2160";"660";"1505";"1790";"370";"1.0";"1297";"100";"130"
"Sonsbeek Noord";"BU02020950";"505";"130";"375";"420";"85";"1.0";"2251";"30";"35"
"Hazegrietje";"BU02020951";"100";"35";"65";"85";"20";"1.3";"243";"5";"10"
"Alteveer/Cranevelt";"BU02020952";"1555";"490";"1065";"1285";"270";"1.0";"1520";"65";"85"
"Geitenkamp";"WK020210";"1310";"240";"1070";"1175";"140";"0.6";"2717";"105";"105"
"Geitenkamp";"BU02021053";"1310";"240";"1070";"1175";"140";"0.6";"2717";"105";"105"
"Monnikenhuizen";"WK020211";"1690";"505";"1185";"1410";"280";"0.9";"634";"85";"135"
"Monnikenhuizen";"BU02021154";"975";"285";"685";"790";"185";"0.9";"2057";"50";"90"
"Arnhemse Allee";"BU02021155";"475";"135";"340";"410";"65";"0.9";"1558";"20";"30"
"Klarenbeek";"BU02021159";"240";"80";"160";"210";"30";"0.8";"128";"15";"10"
"Burgemeesterswijk/Hoogkamp";"WK020212";"3410";"1090";"2315";"2630";"780";"0.9";"984";"145";"200"
"Transvaalbuurt";"BU02021260";"240";"85";"155";"170";"70";"0.6";"2822";"10";"25"
"Burgemeesterswijk";"BU02021261";"1190";"370";"820";"910";"285";"0.7";"2767";"90";"75"
"Gulden Bodem";"BU02021262";"585";"205";"380";"450";"135";"1.3";"2045";"15";"25"
"Sterrenberg";"BU02021263";"525";"175";"350";"410";"115";"1.2";"1975";"15";"35"
"Hoogkamp";"BU02021264";"855";"255";"600";"685";"170";"1.1";"1098";"20";"45"
"Sonsbeek/Zijpendaal";"BU02021269";"10";"5";"5";"5";"5";".";".";"5";"0"
"Schaarsbergen";"WK020213";"1005";"330";"675";"795";"210";"1.3";"20";"120";"90"
"Bakenberg";"BU02021365";"605";"220";"385";"485";"120";"1.5";"567";"35";"45"
"Schaarsbergen";"BU02021366";"165";"45";"115";"140";"25";"1.7";"141";"25";"10"
"West van Schaarsbergen";"BU02021367";"130";"35";"95";"90";"40";"0.6";"8";"20";"15"
"N.O. van Schaarsbergen";"BU02021368";"105";"30";"75";"75";"30";"1.4";"3";"35";"20"
"Heijenoord/Lombok";"WK020214";"1545";"360";"1185";"1255";"285";"0.7";"2151";"80";"150"
"Lombok";"BU02021471";"645";"155";"490";"525";"120";"0.7";"1942";"35";"65"
"Brouwerijweg e.o.";"BU02021473";"420";"100";"320";"345";"75";"0.6";"3347";"25";"35"
"Heijenoord";"BU02021474";"480";"105";"375";"390";"90";"0.9";"1841";"20";"50"
"Klingelbeek e.o.";"WK020215";"540";"165";"370";"405";"130";"1.0";"275";"65";"35"
"Klingelbeek";"BU02021572";"445";"135";"310";"330";"120";"1.1";"599";"45";"35"
"Het Dorp / Mariëndaal";"BU02021579";"90";"30";"60";"80";"15";"0.7";"76";"20";"0"
"Malburgen West";"WK020216";"1515";"345";"1175";"1205";"315";"0.7";"491";"95";"105"
"Meinerswijk / De Praets";"BU02021681";"65";"5";"55";"45";"20";"1.0";"27";"15";"20"
"Malburgen West";"BU02021682";"1455";"340";"1115";"1160";"295";"0.7";"1830";"80";"80"
"Malburgen Oost (noord)";"WK020217";"2270";"530";"1740";"1795";"475";"0.8";"1499";"265";"200"
"Groene Weide";"BU02021780";"910";"145";"765";"755";"155";"0.7";"1923";"80";"80"
"Kamillehof";"BU02021783";"735";"125";"610";"605";"130";"0.7";"1974";"95";"65"
"Bakenhof";"BU02021798";"620";"260";"365";"430";"190";"1.2";"932";"90";"55"
"Malburgen Oost (zuid)";"WK020218";"2355";"385";"1970";"1960";"395";"0.7";"1735";"135";"135"
"'t Duifje";"BU02021815";"635";"135";"500";"555";"80";"0.8";"1716";"35";"45"
"Immerloo I";"BU02021884";"430";"55";"375";"340";"90";"0.7";"1986";"20";"20"
"Middelgraaflaan e.o.";"BU02021885";"340";"75";"265";"290";"50";"0.4";"1898";"15";"15"
"Zeegsingel e.o.";"BU02021886";"490";"75";"415";"410";"80";"0.8";"1914";"35";"35"
"Immerloo II";"BU02021888";"455";"45";"410";"365";"90";"0.5";"1368";"25";"15"
"Vredenburg/Kronenburg";"WK020219";"3265";"840";"2425";"2735";"530";"0.8";"1315";"160";"200"
"Eimersweide";"BU02021987";"280";"60";"220";"245";"30";"0.8";"654";"15";"10"
"Holthuizen";"BU02021989";"455";"185";"265";"385";"70";"1.3";"666";"15";"20"
"Kronenburg";"BU02021990";"800";"160";"645";"700";"100";"0.5";"1864";"45";"45"
"Vredenburg";"BU02021993";"1730";"440";"1295";"1405";"325";"0.8";"1831";"85";"120"
"Elden";"WK020220";"985";"285";"700";"840";"145";"1.1";"541";"90";"115"
"Elden";"BU02022092";"985";"285";"700";"840";"145";"1.1";"541";"90";"115"
"Elderveld";"WK020221";"3760";"975";"2785";"3215";"545";"0.9";"1704";"190";"295"
"Elderveld Zuid";"BU02022191";"1530";"395";"1135";"1310";"220";"0.9";"2113";"95";"110"
"Elderveld Noord";"BU02022194";"820";"155";"665";"720";"100";"0.7";"1176";"40";"45"
"Elderhof";"BU02022197";"1410";"425";"985";"1180";"230";"1.1";"1796";"55";"140"
"De Laar";"WK020222";"5415";"1375";"4035";"4590";"820";"1.0";"2340";"245";"420"
"De Laar West";"BU02022295";"2650";"665";"1985";"2240";"405";"1.0";"2453";"115";"185"
"De Laar Oost";"BU02022296";"2765";"715";"2050";"2350";"415";"1.0";"2240";"125";"235"
"Rijkerswoerd";"WK020223";"6155";"2360";"3795";"4900";"1255";"1.2";"1720";"495";"415"
"Rijkerswoerd Oost";"BU02022316";"1375";"430";"945";"1125";"250";"1.2";"1219";"60";"90"
"Rijkerswoerd Midden";"BU02022317";"1800";"580";"1225";"1485";"320";"1.0";"2191";"70";"120"
"Rijkerswoerd West";"BU02022318";"2510";"1155";"1350";"1920";"590";"1.2";"2005";"280";"180"
"De Overmaat";"BU02022319";"475";"200";"275";"370";"100";"1.2";"1250";"80";"25"
"Schuytgraaf";"WK020224";"3570";"1255";"2315";"2805";"765";"1.1";"885";"100";"255"
"Schuytgraaf-Noord";"BU02022447";"1825";"655";"1170";"1430";"395";"1.1";"845";"60";"145"
"Schuytgraaf-Centrum";"BU02022448";"255";"65";"190";"205";"50";"0.7";"612";"5";"10"
"Schuytgraaf-Zuid";"BU02022449";"1490";"535";"955";"1170";"320";"1.2";"1021";"40";"95"
"Barneveld";"GM0203";"26105";"6975";"19130";"20880";"5220";"1.3";"148";"5865";"2515"
"Wijk 54 Barneveld";"WK020354";"14340";"4025";"10315";"11435";"2905";"1.2";"396";"2805";"1225"
"Buitengebied Barneveld";"BU02035400";"1000";"205";"795";"765";"235";"1.4";"39";"440";"90"
"Centrum Barneveld";"BU02035401";"875";"280";"595";"700";"175";"0.9";"2045";"55";"65"
"De Koot";"BU02035402";"390";"115";"275";"320";"70";"1.1";"2471";"50";"35"
"Vogelbuurt";"BU02035403";"380";"70";"310";"320";"65";"1.2";"1352";"30";"55"
"De Lors";"BU02035404";"830";"135";"690";"700";"130";"0.9";"1371";"125";"75"
"Staatsliedenwijk";"BU02035405";"655";"185";"470";"530";"125";"1.2";"1706";"75";"95"
"De Valk";"BU02035406";"465";"110";"355";"370";"100";"1.5";"647";"315";"45"
"Vliegersveld";"BU02035407";"620";"215";"405";"505";"115";"1.3";"2088";"45";"45"
"Rootselaar-West";"BU02035408";"1745";"380";"1365";"1470";"275";"1.1";"2445";"140";"140"
"Rootselaar-Oost";"BU02035409";"715";"170";"545";"605";"110";"1.2";"3262";"60";"50"
"Oldenbarneveld";"BU02035410";"890";"165";"725";"760";"130";"0.9";"2266";"65";"80"
"De Vaarst";"BU02035411";"1160";"315";"845";"995";"165";"1.2";"1597";"90";"125"
"Norschoten";"BU02035412";"1590";"450";"1135";"1315";"275";"1.2";"1995";"105";"140"
"De Briellared";"BU02035413";"490";"445";"45";"165";"325";".";".";"205";"5"
"De Burgt";"BU02035414";"1520";"400";"1125";"1235";"290";"1.2";"1244";"110";"105"
"Veller";"BU02035415";"705";"170";"535";"585";"120";"1.2";"656";"60";"55"
"Harselaar-West";"BU02035425";"180";"135";"45";"55";"125";".";".";"525";"10"
"Harselaar-Oost";"BU02035426";"130";"80";"50";"55";"75";".";".";"310";"10"
"Wijk 55 Voorthuizen";"WK020355";"5265";"1465";"3800";"4395";"870";"1.3";"229";"780";"610"
"Buitengebied Voorthuizen";"BU02035530";"1200";"305";"895";"945";"260";"1.7";"57";"365";"150"
"Centrum Voorthuizen";"BU02035531";"380";"125";"255";"315";"65";"1.4";"1767";"65";"20"
"Haarkamp";"BU02035532";"325";"70";"255";"285";"40";"1.1";"2477";"40";"30"
"Roeleneng";"BU02035533";"280";"110";"170";"230";"50";"1.6";"1222";"35";"40"
"Prinsessenwijk";"BU02035534";"205";"55";"150";"165";"40";"1.6";"1512";"35";"25"
"De Wheem";"BU02035535";"640";"140";"495";"555";"85";"1.2";"2096";"70";"90"
"De Steenkamp";"BU02035536";"205";"55";"150";"185";"20";"1.3";"3190";"15";"20"
"Zeeheldenwijk";"BU02035537";"405";"120";"285";"350";"55";"1.3";"1573";"50";"55"
"Componistenwijk";"BU02035538";"520";"135";"385";"440";"85";"1.2";"2428";"35";"45"
"De Maat";"BU02035539";"645";"205";"445";"545";"105";"1.2";"2790";"45";"70"
"De Kromme Akker";"BU02035540";"240";"85";"155";"210";"30";"1.0";"1409";"10";"30"
"Blankensgoed";"BU02035541";"215";"55";"160";"180";"35";"1.1";"2048";"15";"25"
"Wijk 56 Kootwijkerbroek";"WK020356";"2410";"420";"1995";"1850";"565";"1.5";"97";"950";"230"
"Buitengebied Kootwijkerbroek";"BU02035650";"1470";"245";"1225";"1090";"380";"1.5";"62";"670";"140"
"Kootwijkerbroek";"BU02035651";"790";"145";"645";"650";"135";"1.5";"1390";"225";"75"
"Kootwijkerbroek-west";"BU02035652";"150";"30";"125";"110";"45";"1.3";"583";"55";"10"
"Wijk 57 Garderen";"WK020357";"1230";"370";"855";"975";"250";"1.5";"89";"210";"115"
"Buitengebied Garderen";"BU02035780";"565";"180";"390";"450";"115";"1.8";"43";"90";"50"
"Garderen";"BU02035781";"660";"195";"470";"525";"135";"1.3";"1162";"125";"65"
"Wijk 58 Terschuur";"WK020358";"820";"200";"620";"660";"160";"1.5";"62";"225";"105"
"Buitengebied Terschuur";"BU02035875";"435";"105";"330";"330";"105";"1.6";"33";"170";"55"
"terschuur";"BU02035876";"270";"65";"205";"240";"35";"1.4";"1495";"45";"40"
"Blankenhoef";"BU02035877";"110";"30";"80";"90";"20";"1.4";"2932";"10";"10"
"Wijk 59 Stroe";"WK020359";"835";"205";"630";"655";"185";"1.5";"51";"315";"105"
"Buitengebied Stroe";"BU02035960";"475";"125";"350";"365";"110";"1.6";"30";"205";"55"
"Stroe";"BU02035961";"360";"80";"280";"290";"75";"1.4";"1326";"110";"50"
"Wijk 60 Zwartebroek";"WK020360";"645";"145";"495";"545";"95";"1.4";"90";"115";"85"
"Buitengebied Zwartebroek";"BU02036070";"235";"55";"185";"195";"45";"1.5";"35";"55";"35"
"Zwartebroek";"BU02036071";"405";"95";"315";"350";"55";"1.4";"1078";"60";"45"
"Wijk 61 De Glind";"WK020361";"250";"45";"205";"180";"70";"1.3";"41";"65";"35"
"Buitengebied De Glind";"BU02036190";"125";"25";"100";"80";"45";"1.3";"21";"55";"20"
"De Glind";"BU02036191";"125";"25";"105";"100";"25";"1.3";"368";"15";"15"
"Wijk 62 Kootwijk";"WK020362";"160";"45";"115";"115";"45";"1.5";"5";"35";"15"
"Buitengebied kootwijk";"BU02036265";"110";"30";"80";"80";"35";"1.9";"3";"25";"5"
"Kootwijk";"BU02036266";"50";"15";"35";"35";"15";".";".";"10";"5"
"Wijk 63 Achterveld";"WK020363";"65";"10";"50";"55";"10";"1.2";"19";"15";"5"
"Buitengebied Achterveld";"BU02036395";"65";"10";"50";"55";"10";"1.2";"19";"15";"5"
"Beuningen";"GM0209";"12905";"3985";"8920";"10595";"2305";"1.2";"296";"1290";"1155"
"Wijk 01 Beuningen";"WK020901";"8590";"2815";"5780";"7090";"1500";"1.2";"530";"635";"710"
"Beuningen Buitengebied Noord";"BU02090100";"225";"60";"165";"165";"65";"1.5";"50";"60";"20"
"Beuningen Buitengebied Zuid";"BU02090101";"20";"5";"15";"10";"5";".";".";"15";"0"
"Beuningse Plas";"BU02090110";"0";"0";"0";"0";"0";".";".";"0";"0"
"Beuningen Centrum";"BU02090111";"455";"160";"295";"390";"60";"1.0";"2098";"35";"30"
"Beuningen Centrum Oost";"BU02090112";"760";"210";"550";"675";"85";"1.0";"2104";"50";"45"
"Beuningen De Haaghe";"BU02090113";"250";"110";"140";"195";"55";"1.5";"1022";"10";"25"
"Beuningen De Notenhof";"BU02090114";"70";"30";"40";"60";"10";".";".";"10";"10"
"Beuningen Duivenkamp";"BU02090121";"435";"120";"315";"365";"70";"1.1";"2801";"15";"25"
"Beuningen de Linde";"BU02090122";"70";"25";"45";"55";"15";".";".";"5";"10"
"Beuningen Hoeve-1";"BU02090123";"190";"60";"135";"170";"25";"1.1";"2926";"5";"15"
"Beuningen Hoeve-2";"BU02090124";"300";"80";"220";"250";"50";"1.2";"3053";"20";"40"
"Beuningen Hoeve-3";"BU02090125";"105";"40";"65";"85";"20";"1.1";"3386";"10";"15"
"Beuningen Schoenaker";"BU02090131";"65";"55";"10";"25";"40";".";".";"80";"0"
"Beuningen Aalstervelden";"BU02090141";"310";"60";"250";"265";"45";"1.1";"2065";"25";"25"
"Beuningen Olden Tempel";"BU02090142";"525";"110";"410";"445";"75";"0.9";"2824";"25";"40"
"Beuningen Blanckenburgh";"BU02090143";"365";"90";"275";"310";"60";"1.1";"2666";"30";"35"
"Beuningen Viermorgen";"BU02090144";"635";"170";"465";"545";"90";"1.1";"3159";"30";"65"
"Beuningen Tinnegieter";"BU02090145";"920";"235";"685";"765";"150";"1.2";"2915";"45";"85"
"Beuningen Den Balmerd";"BU02090146";"495";"195";"305";"395";"105";"1.3";"1352";"35";"50"
"Beuningen Sportpark De Ooigraaf";"BU02090147";"0";"0";"0";"0";"0";".";".";"0";"0"
"Beuningen Heuve-1";"BU02090151";"395";"140";"255";"335";"60";"1.4";"1364";"20";"30"
"Beuningen Heuve-2";"BU02090152";"270";"115";"155";"225";"50";"1.5";"2956";"15";"20"
"Beuningen Heuve-3";"BU02090153";"210";"85";"125";"165";"40";"1.3";"1894";"10";"20"
"Beuningen Heuve-4";"BU02090154";"235";"85";"150";"190";"50";"1.6";"899";"25";"10"
"Beuningen Beuningse Plas";"BU02090161";"1280";"565";"715";"1010";"275";"1.4";"1530";"60";"90"
"Wijk 02 Ewijk";"WK020902";"1925";"545";"1385";"1580";"345";"1.3";"190";"230";"185"
"Ewijk Buitengebied Noord-1";"BU02090202";"80";"30";"50";"60";"20";".";".";"40";"10"
"Ewijk Buitengebied Zuid-1";"BU02090203";"125";"35";"90";"85";"40";"1.8";"58";"35";"15"
"Ewijk Buitengebied Zuid-2";"BU02090204";"55";"5";"50";"35";"15";".";".";"5";"5"
"Ewijk Centrum";"BU02090271";"390";"100";"290";"335";"60";"1.0";"1142";"45";"30"
"Ewijk Vording-2";"BU02090272";"385";"110";"275";"320";"65";"1.3";"2831";"15";"40"
"Ewijk Vording-3";"BU02090273";"530";"160";"365";"445";"85";"1.4";"2535";"25";"45"
"Ewijk Veluwstraat";"BU02090274";"90";"20";"70";"70";"20";"1.3";"208";"35";"20"
"Ewijk Keizershoeve";"BU02090275";"220";"65";"155";"190";"30";"1.3";"376";"20";"15"
"Ewijk Den Elt";"BU02090276";"50";"15";"35";"40";"10";".";".";"15";"10"
"Wijk 03 Weurt";"WK020903";"1295";"330";"965";"1060";"235";"1.2";"329";"175";"125"
"Weurt Buitengebied Noord";"BU02090305";"35";"10";"25";"30";"10";".";".";"10";"5"
"Weurt Buitengebied Zuid";"BU02090306";"95";"15";"80";"70";"20";"1.8";"47";"20";"10"
"Weurt Noord";"BU02090381";"275";"60";"215";"225";"50";"1.2";"1184";"30";"15"
"Weurt Zuid";"BU02090382";"845";"220";"625";"710";"135";"1.1";"1928";"55";"90"
"De Sluis";"BU02090383";"45";"25";"20";"20";"20";".";".";"60";"5"
"Wijk 04 Winssen";"WK020904";"1085";"300";"790";"865";"220";"1.4";"81";"220";"135"
"Winssen Buitengebied Noord";"BU02090407";"210";"45";"165";"170";"40";"1.8";"60";"40";"20"
"Winssen Buitengebied Zuid-1";"BU02090408";"165";"50";"110";"120";"40";"1.2";"29";"95";"30"
"Winssen Buitengebied Zuid-2";"BU02090409";"10";"0";"10";"10";"0";".";".";"0";"0"
"Winssen Centrum";"BU02090491";"705";"200";"505";"565";"140";"1.3";"1248";"85";"85"
"Brummen";"GM0213";"10895";"2835";"8060";"9020";"1870";"1.2";"130";"1250";"1165"
"Wijk 01 Empe";"WK021301";"365";"80";"285";"275";"90";"1.5";"45";"65";"45"
"Empe Kern";"BU02130100";"140";"30";"110";"115";"25";"1.5";"1094";"20";"20"
"Verspreide huizen Empe";"BU02130101";"190";"45";"145";"135";"50";"1.5";"29";"40";"20"
"Dovenkamp";"BU02130102";"35";"5";"30";"25";"10";".";".";"5";"0"
"Wijk 02 Tonden";"WK021302";"195";"45";"150";"160";"35";"1.6";"24";"30";"30"
"Tonden";"BU02130200";"195";"45";"150";"160";"35";"1.6";"24";"30";"30"
"Wijk 03 Brummen";"WK021303";"4355";"1165";"3190";"3605";"750";"1.2";"144";"480";"485"
"Brummen Centrum";"BU02130300";"770";"200";"565";"625";"145";"1.1";"1349";"50";"65"
"Brummense Enk West";"BU02130301";"635";"145";"495";"545";"90";"1.1";"2225";"50";"75"
"Brummense Enk Oost";"BU02130302";"745";"170";"575";"650";"95";"1.0";"2413";"30";"90"
"De Pothof";"BU02130303";"360";"105";"255";"320";"40";"1.0";"2307";"10";"30"
"Koppelenburg";"BU02130304";"240";"65";"175";"200";"40";"1.3";"1182";"10";"20"
"Verspreide huizen Brummen";"BU02130305";"60";"20";"40";"45";"20";".";".";"10";"10"
"Rhienderen Kern";"BU02130306";"390";"95";"295";"335";"55";"1.2";"1383";"45";"75"
"Rhienderen Noord";"BU02130307";"65";"45";"20";"20";"45";".";".";"90";"0"
"Rhienderense Enk";"BU02130308";"75";"30";"45";"60";"15";"1.3";"693";"5";"5"
"Elzenbos";"BU02130309";"340";"110";"235";"295";"45";"1.1";"2153";"15";"30"
"Hazenberg";"BU02130310";"45";"25";"20";"25";"20";".";".";"55";"0"
"Verspreide huizen Rhienderen";"BU02130311";"30";"5";"20";"25";"0";".";".";"5";"10"
"Rhienderense Broek";"BU02130312";"120";"25";"95";"90";"30";"1.4";"58";"10";"15"
"Oeken kern";"BU02130313";"80";"25";"55";"70";"10";"1.5";"812";"15";"5"
"Verspreide huizen Oeken";"BU02130314";"200";"40";"155";"160";"35";"1.6";"40";"40";"20"
"Wapsum";"BU02130315";"30";"5";"25";"25";"10";".";".";"10";"0"
"Voorstonden";"BU02130316";"55";"15";"35";"35";"15";".";".";"10";"5"
"Cortenoever";"BU02130317";"120";"40";"80";"85";"30";"1.4";"12";"15";"15"
"Wijk 04 Leuvenheim";"WK021304";"395";"95";"300";"320";"75";"1.4";"55";"75";"40"
"Leuvenheim kern";"BU02130400";"320";"70";"245";"265";"55";"1.4";"773";"50";"40"
"Verspreide huizen Leuvenheim";"BU02130401";"30";"10";"20";"25";"5";".";".";"10";"0"
"Lichtenbelt";"BU02130402";"45";"15";"30";"35";"15";".";".";"20";"0"
"Wijk 05 Hall";"WK021305";"480";"115";"365";"380";"100";"1.4";"36";"55";"60"
"Hall kern";"BU02130500";"195";"45";"150";"165";"30";"1.5";"1150";"15";"30"
"Verspreide huizen Hall";"BU02130501";"170";"45";"125";"130";"40";"1.4";"20";"20";"15"
"Cellenrijk";"BU02130502";"115";"25";"90";"85";"30";"1.4";"26";"20";"15"
"Wijk 06 Eerbeek";"WK021306";"5090";"1330";"3760";"4265";"820";"1.2";"298";"535";"510"
"Eerbeek centrum";"BU02130600";"390";"125";"265";"320";"70";"1.1";"1131";"55";"25"
"Lombok";"BU02130601";"550";"185";"365";"445";"100";"1.3";"2346";"15";"70"
"Noorder Enk";"BU02130602";"770";"150";"620";"670";"100";"1.0";"2195";"35";"55"
"Werfakker";"BU02130603";"695";"205";"490";"605";"90";"1.1";"2692";"15";"70"
