"Kerncijfers wijken en buurten 2014"
"Onderwerpen";"Regioaanduiding";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie"
"Onderwerpen";"Codering";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik"
"Onderwerpen";"Codering";"Gemiddeld elektriciteitsverbruik totaal";"Naar woningtype";"Naar woningtype";"Naar woningtype";"Naar woningtype";"Naar woningtype";"Naar eigendom";"Naar eigendom"
"Onderwerpen";"Codering";"Gemiddeld elektriciteitsverbruik totaal";"Appartement";"Tussenwoning";"Hoekwoning";"Twee-onder-één-kap-woning";"Vrijstaande woning";"Huurwoning";"Koopwoning"
"Wijken en buurten";"code";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh"
"Scheepswaard";"BU02430803";"3150";".";"3200";"3000";"3350";"3950";"2800";"3450"
"Stedenwaard";"BU02430804";"3100";"2850";"3050";"3250";"3500";".";"2700";"3350"
"Vogelwaard";"BU02430805";"3500";"1850";"3350";"3550";"4800";"4750";"2650";"3750"
"Weidewaard";"BU02430806";"3300";"1800";"3450";"3500";"3700";".";"2800";"3650"
"Drift";"BU02430807";"2800";"2500";"4050";"3300";".";".";"2550";"3800"
"Stromenwaard";"BU02430808";"2400";"2400";".";".";".";".";"2300";"2550"
"Wijk 09 Slingerbos";"WK024309";"3050";"2200";"2800";"3100";"3900";"4450";"2200";"3250"
"Slingerbos-Noord";"BU02430901";"2800";"2200";"2800";"3200";"4050";".";"2050";"3000"
"Slingerbos-Zuid";"BU02430902";"3400";".";"2700";"2950";"3900";"4450";"2500";"3700"
"Wijk 10 Tweelingstad";"WK024310";"2900";"2000";"2900";"3200";"3600";"4400";"2350";"3400"
"Veldkamp";"BU02431001";"3200";"1750";"2850";"3350";"3400";"4000";"2450";"3300"
"Kranenburg";"BU02431002";"3200";"2600";"2550";"2850";"3850";"5650";"2650";"4150"
"Bedrijventerrein ""De Sypel""";"BU02431003";"1900";"1750";".";".";".";".";"1600";"2050"
"Tinnegieter";"BU02431004";"2550";"1850";"2550";"2600";"3750";"5250";"2250";"3850"
"De Wittenhagen-Noord";"BU02431005";"3050";"2000";"3200";"3450";"4050";".";"2400";"3400"
"De Wittenhagen-Zuid";"BU02431006";"2650";"2050";"2800";"3050";"3150";".";"2300";"3350"
"Wijk 11 Frankrijk";"WK024311";"3350";"2150";"3250";"3450";"3950";"4500";"2500";"3650"
"Broekland";"BU02431101";"3200";"2150";"3350";"3200";"3950";"5100";"2400";"3500"
"De Akker";"BU02431102";"3700";"2050";"3100";"3250";"4050";"4500";"2400";"4150"
"Walstein";"BU02431103";"3150";"2150";"3250";"3650";"3750";"3800";"2550";"3400"
"Overveld";"BU02431104";"4500";".";".";".";".";"4500";".";"."
"Wijk 12 Drielanden";"WK024312";"3200";"2200";"3300";"3650";"4050";"4900";"2550";"3450"
"Muziekland I";"BU02431201";"3000";"2050";"3350";"3800";"4050";"4650";"2050";"3400"
"Muziekland II";"BU02431202";"3800";"2150";"4050";"4450";"4200";"5050";"2000";"4250"
"Muziekland III";"BU02431203";"3250";"2150";"3300";"3800";"4000";"5100";"3000";"3250"
"Muziekland IV";"BU02431204";"3400";"2250";"3500";"3750";"4200";"5300";"2850";"3750"
"Drielanden-Centrum";"BU02431205";"2700";"2300";"3050";"3550";".";".";"2400";"2950"
"Harderhout I";"BU02431206";"3450";"2450";"3650";"3750";"4050";"4700";"2900";"3700"
"Harderhout II";"BU02431207";"3150";"1950";"3050";"3350";"3900";"5050";"2600";"3350"
"De Burcht";"BU02431208";".";".";".";".";".";".";".";"."
"De Gronden";"BU02431209";".";".";".";".";".";".";".";"."
"Groerne Zoom";"BU02431210";"4650";".";".";".";".";"4650";".";"4050"
"Tonsel";"BU02431211";".";".";".";".";".";".";".";"."
"Weisteeg";"BU02431212";"4950";".";".";".";".";"5000";".";"4950"
"Wijk 13 Industrieterrein Lorentz";"WK024313";".";".";".";".";".";".";".";"."
"Lorentz I";"BU02431301";".";".";".";".";".";".";".";"."
"Lorentz II";"BU02431302";".";".";".";".";".";".";".";"."
"Lorentz III";"BU02431303";".";".";".";".";".";".";".";"."
"Wijk 14 Buitengebied Harderwijk";"WK024314";"5050";".";".";".";"3900";"5400";"4600";"5150"
"Strokel";"BU02431401";".";".";".";".";".";".";".";"."
"Sonnevanck";"BU02431402";"5550";".";".";".";".";"6050";"5100";"5550"
"Harderwijkerbos";"BU02431403";"4500";".";".";".";".";"4700";".";"4750"
"Wijk 15 Hierden";"WK024315";"4300";"2100";"2650";"3200";"4200";"4900";"3250";"4650"
"Hierden-Dorp";"BU02431501";"3850";"1650";"2650";"3000";"4200";"4500";"2900";"4350"
"Hierden Glindweg";"BU02431502";"5100";".";".";".";"5150";"5100";"5350";"4950"
"Hierden Mheenlanden";"BU02431503";"3950";".";".";".";"3500";"4750";".";"4300"
"Hierden de Enk";"BU02431504";"5200";".";".";".";"3950";"5550";"4450";"5450"
"Hierden De Duinen";"BU02431505";"4800";".";".";".";"3800";"5000";"3550";"4950"
"Hierden De Biest";"BU02431506";"5000";".";".";".";"4850";"5000";"5200";"4950"
"Wijk 16 Wolderwijd";"WK024316";".";".";".";".";".";".";".";"."
"Woldenwijd-Noord";"BU02431601";".";".";".";".";".";".";".";"."
"Hattem";"GM0244";"3150";"1950";"2900";"3000";"3450";"4000";"2550";"3500"
"Wijk 00 Hattem";"WK024400";"3100";"1950";"2900";"3000";"3450";"4000";"2500";"3500"
"Binnenstad";"BU02440000";"2700";"2150";"3000";"2750";"3150";"3350";"2250";"3250"
"Zandkamp en omgeving";"BU02440001";"2700";"1950";"2800";"2950";"3200";"3300";"2400";"3200"
"Ten oosten van Apeldoornseweg";"BU02440002";"3400";".";"3100";"3100";"3500";"4100";"2900";"3550"
"Hogenkamp en omgeving";"BU02440003";"3000";"1350";"2850";"2850";"3100";"3350";"2650";"3150"
"Villapark";"BU02440004";"4400";".";".";".";"4000";"5100";"4150";"5050"
"De Hilst";"BU02440005";"3100";"1900";"2950";"3050";"3900";"3950";"2400";"3550"
"Verspreide huizen bosgebied";"BU02440008";"4900";".";".";".";".";"5000";"3150";"6300"
"Verspreide huizen Hoenwaard";"BU02440009";".";".";".";".";".";".";".";"."
"Wijk 01 Polder Hattem en Molecaten";"WK024401";"4000";".";".";".";"3800";"4050";"3550";"4050"
"Verspreide huizen Koeweg en Molecaten";"BU02440108";"4400";".";".";".";"3950";"4550";"4050";"4450"
"Verspr.h. Gelderse Dijk en omgeving";"BU02440109";"3400";".";".";".";"3650";"3250";"2550";"3450"
"Heerde";"GM0246";"3450";"1950";"2950";"3100";"3600";"4150";"2750";"3750"
"Wijk 00 Heerde";"WK024600";"3450";"1950";"2950";"3050";"3600";"4150";"2700";"3750"
"Heerde";"BU02460000";"3150";"1950";"2900";"3050";"3450";"3850";"2550";"3450"
"Veessen";"BU02460001";"3650";"1400";"2850";"3100";"3450";"4150";"2850";"3900"
"Vorchten";"BU02460002";"3950";".";".";".";".";"3750";".";"3950"
"Hoorn";"BU02460003";"3850";".";".";".";"3350";"4100";".";"3900"
"Verspreide huizen Veessen";"BU02460004";"4450";".";".";".";"3800";"4650";".";"4600"
"Verspreide huizen Heerde-Noord en Hoorn";"BU02460005";"4550";".";".";".";"4400";"4550";"4300";"4600"
"Verspreide huizen Heerde-Zuid";"BU02460006";"4650";".";".";".";"4500";"4700";"4750";"4700"
"Verspreide huizen Vorchten";"BU02460007";"4600";".";".";".";".";"4650";".";"4750"
"Verspreide huizen Lage Land";"BU02460008";"4150";".";".";".";"4500";"3800";"4650";"3950"
"Verspreide huizen bosgebied";"BU02460009";"4400";".";".";".";".";".";".";"."
"Wijk 01 Wapenveld";"WK024601";"3450";"2050";"2950";"3150";"3650";"4150";"2800";"3800"
"Wapenveld";"BU02460100";"3050";"2050";"2900";"3150";"3300";"3800";"2650";"3400"
"Verspreide huizen Wapenveld-Noord";"BU02460106";"4550";".";".";".";"4100";"4650";"4650";"4500"
"Verspreide huizen Wapenveld-Zuid";"BU02460107";"4200";".";"3450";".";"4900";"4050";"3750";"4200"
"Verspreide huizen Lage Land";"BU02460108";"4900";".";".";".";".";"4950";".";"4750"
"Verspreide huizen bosgebied";"BU02460109";"5350";".";".";".";".";"5300";".";"4900"
"Heumen";"GM0252";"3550";"2100";"3250";"3350";"3850";"4550";"2600";"3950"
"Wijk 00 Heumen";"WK025200";"3450";"2100";"3250";"3350";"3900";"4550";"2600";"3900"
"Heumen";"BU02520000";"3550";"1950";"3000";"3200";"4150";"4150";"2800";"3900"
"Malden-West";"BU02520001";"3250";"2100";"3250";"3600";"4100";"4650";"2350";"3950"
"Malden-Oost";"BU02520002";"3350";"1950";"3200";"3250";"3600";"4300";"2650";"3650"
"Broekkant en Droge";"BU02520003";"5250";".";".";".";".";"5350";".";"5400"
"Molenhoek";"BU02520004";"4600";".";".";".";"4200";"4800";"4850";"4550"
"Kluis";"BU02520005";"4750";".";".";".";"3450";"5400";"5350";"4500"
"Verspreide huizen Malden";"BU02520006";"4300";"3700";"3750";"3700";"4150";"5050";"3600";"4350"
"Verspr.h. bosgebied ten oosten kanaal";"BU02520007";".";".";".";".";".";".";".";"."
"Verspreide huizen Heumen";"BU02520008";"3900";"2100";"4000";".";"4500";"4800";"2600";"4450"
"Verspr.h. bosgebied ten westen kanaal";"BU02520009";"4750";".";".";".";".";"4400";".";"4750"
"Wijk 01 Overasselt";"WK025201";"3850";"2050";"3400";"3300";"3700";"4650";"2700";"4200"
"Overasselt";"BU02520100";"3500";"1950";"3250";"3300";"3500";"4300";"2450";"3850"
"Nederasselt";"BU02520101";"3900";"2350";"3250";"3200";"3900";"4400";"2700";"4200"
"Verspreide huizen Overasseltse Broek";"BU02520103";"5150";".";".";".";".";".";".";"."
"Verspr.h. Overasseltse Uiterwaarden";"BU02520104";"4750";".";"4900";".";"4000";"5200";"2900";"4850"
"Verspreide huizen Valenberg en Heide";"BU02520105";"5200";".";".";".";"4350";"5500";".";"5200"
"Verspreide huizen Nederasseltse Broek";"BU02520106";".";".";".";".";".";".";".";"."
"Verspreide huizen Worsum";"BU02520107";"5000";".";".";".";"5000";"5000";".";"5150"
"Verspr.h. in de polder Balgoij en Einde";"BU02520108";"4500";".";".";".";"4000";"5100";".";"4450"
"Verspr.h. Nederasseltse Uiterwaarden";"BU02520109";"5500";".";".";".";".";"5700";".";"5800"
"Lochem";"GM0262";"3400";"2050";"2800";"2850";"3650";"4200";"2400";"3850"
"Wijk 00 Lochem kern";"WK026200";"3000";"2000";"2800";"2700";"3500";"4000";"2200";"3550"
"Vesting";"BU02620000";"2200";"2100";"2150";"2400";"2350";"3150";"1850";"2750"
"Zuiderenk";"BU02620001";"2700";"2050";"2650";"2600";"2850";"3600";"2250";"3200"
"Lochem-Zuid";"BU02620002";"3450";"1650";"2950";"2800";"3750";"3950";"2700";"3700"
"Lochem-Oost";"BU02620003";"3100";"1950";"2300";"2750";"3300";"4050";"2000";"3550"
"Lochem-West";"BU02620004";"3450";".";"3300";"3000";"3600";"3950";"2700";"3650"
"Lochem-Noord";"BU02620005";"2300";"1800";"2200";"2150";"3250";"4150";"1900";"3000"
"Molengronden";"BU02620006";"4150";".";"4000";"4050";"4050";"4500";"3200";"4250"
"Wijk 01 Lochem buitengebied";"WK026201";"4650";".";".";".";"4850";"4550";"3950";"4800"
"Zwiep";"BU02620100";"3750";".";".";".";"4400";"3500";".";"4000"
"Verspreide huizen Het Veen en Grote Veld";"BU02620106";"4600";".";".";".";"4800";"4450";"4800";"4550"
"Verspreide huizen Klein Dochteren";"BU02620107";"4650";".";".";".";"5100";"4450";"3550";"4900"
"Verspreide huizen Ampsen";"BU02620108";"4500";".";".";".";".";"4300";"3600";"4950"
"Verspr.h. Nettelhorst, Langen en Zwiep";"BU02620109";"4950";".";".";".";"4800";"5050";"4700";"5050"
"Wijk 02 Laren";"WK026202";"3950";"2400";"2800";"2800";"4150";"4400";"2650";"4350"
"Laren";"BU02620200";"3400";"2400";"2600";"2650";"3750";"4000";"2300";"3900"
"Exel";"BU02620201";"3800";".";"2900";".";"4550";"3750";".";"3800"
"Verspreide huizen Groot Dochteren";"BU02620205";"4450";".";".";".";"5000";"4300";"3750";"4500"
"Verspreide huizen Oolde";"BU02620206";"4850";".";".";".";"5200";"4800";"4600";"4850"
"Verspreide huizen Verwolde";"BU02620207";"5150";".";".";".";"5550";"5000";"3650";"5200"
"Verspreide huizen Exel";"BU02620208";"4350";".";".";".";".";"4200";"3850";"4400"
"Exel Tol";"BU02620209";"3650";".";".";".";".";"3950";".";"3650"
"Wijk 03 Barchem";"WK026203";"3850";"2250";"2950";"3150";"3800";"4450";"2400";"4150"
"Barchem";"BU02620300";"3250";"2250";"2800";"3100";"3350";"3800";"2200";"3600"
"Verspreide huizen Lochemseweg";"BU02620307";"5200";".";".";".";"4800";"5350";".";"5250"
"Verspr.h. Zwarte Veen en Barchemse Enk";"BU02620308";"4900";".";".";".";"5100";"4750";".";"4900"
"Verspr.h. Boschheurne en Zwiepsche Broek";"BU02620309";"5400";".";".";".";"5150";"5750";".";"5650"
"Wijk 04 Gorssel";"WK026204";"3450";"2200";"2700";"2950";"3500";"4250";"2550";"3800"
"Gorssel";"BU02620400";"3200";"1900";"2600";"2850";"3500";"4050";"2250";"3700"
"Eefde";"BU02620401";"3050";"2300";"2700";"2950";"3350";"3550";"2500";"3400"
"Epse";"BU02620402";"3850";".";"2850";"3300";"3650";"4950";"3100";"4100"
"Verspreide huizen Joppe";"BU02620406";"4550";"2850";".";".";"3800";"4900";"3500";"4850"
"Verspreide huizen Gorssel";"BU02620407";"4300";".";".";".";"3750";"4450";"3800";"4400"
"Verspreide huizen Epse";"BU02620408";"4600";".";".";".";"4100";"4650";"4000";"4650"
"Verspreide huizen Eefde";"BU02620409";"4150";".";".";".";"3700";"4250";"3450";"4250"
"Wijk 01 Almen-Harfsen";"WK026205";"3800";"1700";"2650";"3050";"3900";"4150";"2850";"4100"
"Almen";"BU02620500";"3250";".";"2500";"2650";"3400";"3600";"2500";"3550"
"Harfsen";"BU02620501";"3350";"1700";"2550";"3400";"3850";"3650";"2600";"3650"
"Verspr.h. Almen ten Z. van Twentekanaal";"BU02620506";"4300";".";".";".";"3550";"4450";"4200";"4400"
"Verspr.h. Almen ten N. van Twentekanaal";"BU02620507";"4900";".";".";".";"3350";"5250";"4950";"4900"
"Verspreide huizen Harfsen";"BU02620508";"4750";".";".";".";"4950";"4700";"4200";"4850"
"Verspreide huizen Kring van Dorth";"BU02620509";"4250";".";".";".";"4000";"4550";"2700";"4550"
"Maasdriel";"GM0263";"3800";"2150";"3250";"3200";"3950";"4600";"2800";"4250"
"Wijk 00 Kerkdriel";"WK026300";"3800";"2300";"3250";"3150";"4050";"4700";"2850";"4350"
"Kerkdriel";"BU02630000";"3550";"2250";"3200";"3150";"4000";"4600";"2700";"4200"
"Velddriel";"BU02630001";"4300";".";"3650";"3600";"4250";"4550";"3250";"4650"
"Hoenzadriel";"BU02630002";"4150";".";".";".";"3100";"4600";"3600";"4700"
"Alem";"BU02630003";"4050";".";"3300";"3450";"3750";"4500";"3300";"4400"
"Verspreide huizen Noord Beemden";"BU02630006";"5600";".";".";".";".";"5750";".";"5500"
"Verspr.h. Kerkdriel, Berm en Hoorzik";"BU02630007";"4350";".";"3200";"2900";"5400";"4950";"4950";"4300"
"Verspr.h. Velddriel, Vlierd en Beemden";"BU02630008";"5150";".";"4000";".";".";"5250";"4100";"5350"
"Verspr.h. Maasdijk en Uiterwaarden";"BU02630009";"5550";".";".";".";".";"5550";".";"6050"
"Verspreide huizen Alem";"BU02630010";"4400";".";".";".";".";"4500";".";"4250"
"Wijk 01 Ammerzoden";"WK026301";"3800";"1800";"3150";"3250";"4000";"4700";"2750";"4250"
"Ammerzoden";"BU02630100";"3600";"1850";"3150";"3250";"3900";"4750";"2650";"4150"
"Well";"BU02630101";"3650";"1600";"2850";"3050";"4150";"4300";"2650";"4300"
"Wellseind-Slijkwell";"BU02630102";"4650";".";"3400";".";"4250";"4900";"4000";"4850"
"Verspreide huizen Het Heust";"BU02630108";"4050";"1850";".";".";"4600";"4800";"2950";"4300"
"Verspreide huizen Uilecoten";"BU02630109";"4950";".";".";".";"5900";"4700";"5050";"4800"
"Wijk 02 Hedel";"WK026302";"3750";"2200";"3250";"3300";"3850";"4600";"2700";"4100"
"Hedel";"BU02630200";"3700";"2200";"3250";"3250";"3850";"4550";"2650";"4050"
"Verspreide huizen in het bouwgebied";"BU02630208";"4700";".";"3100";".";"5700";"4800";"4400";"4500"
"Verspreide huizen in de polder Hedel";"BU02630209";"5150";".";".";".";".";"5250";".";"5400"
"Wijk 03 Heerewaarden";"WK026303";"3650";"1900";"3300";"3300";"3750";"4050";"2950";"4000"
"Heerewaarden";"BU02630300";"3550";"1900";"3150";"3200";"3700";"4000";"2950";"3950"
"Huizendijk, Voorne, De Kop en Veluwe";"BU02630301";"4300";".";"4100";"4400";"3750";"4400";"3550";"4400"
"Verspreide huizen Heerewaarden";"BU02630309";"3600";".";".";".";".";"3250";".";"3900"
"Wijk 04 Rossum";"WK026304";"3900";"2100";"3200";"3150";"4000";"4550";"2650";"4350"
"Rossum";"BU02630400";"3650";"2100";"3000";"3100";"4050";"4400";"2550";"4200"
"Hurwenen";"BU02630401";"4000";".";"4000";"3300";"3800";"4350";"2900";"4350"
"Verspreide huizen Hurwenen en Rossum";"BU02630408";"4700";".";"3300";"3700";"4200";"5050";"3000";"4900"
"Overige verspreide huizen";"BU02630409";"5700";".";".";".";".";"5900";".";"5700"
"Millingen aan de Rijn";"GM0265";"3250";"1950";"2800";"3000";"3800";"4150";"2500";"3750"
"Wijk 00";"WK026500";"3250";"1950";"2800";"3000";"3800";"4150";"2500";"3750"
"Millingen aan de Rijn";"BU02650000";"3250";"1950";"2800";"3000";"3750";"4100";"2500";"3750"
"Verspreide huizen in Millingerwaard";"BU02650008";".";".";".";".";".";".";".";"."
"Verspreide huizen poldergebied";"BU02650009";"4950";".";".";".";".";"4850";".";"4850"
"Nijkerk";"GM0267";"3450";"2050";"3200";"3500";"3900";"4800";"2600";"3850"
"Wijk 01 Nijkerk";"WK026701";"3250";"2050";"3200";"3450";"3800";"4500";"2500";"3650"
"Industriegebied";"BU02670101";"4950";".";".";".";".";"5000";".";"5150"
"Doornsteeg";"BU02670102";"3400";"2100";"3300";"3750";"3950";"4800";"2600";"3700"
"Corlaer";"BU02670103";"3550";"2050";"3300";"3750";"3900";"4950";"2300";"3800"
"Schulpkamp";"BU02670104";"2950";"2050";"3000";"3300";"3350";"4000";"2250";"3400"
"Havenstraat";"BU02670105";"3050";"1600";"3050";"3200";"4200";"4350";"2250";"3750"
"Centrum Nijkerk";"BU02670106";"2750";"2400";"3550";"3700";"4000";"4550";"2450";"3150"
"Campenbuurt";"BU02670107";"3150";".";"2900";"3000";"3400";"4200";"2400";"3450"
"Oranjebuurt";"BU02670108";"3100";"2000";"2700";"3350";"3800";"4350";"2500";"3700"
"Colthoflaan";"BU02670109";"3200";"2000";"3450";"3650";"3600";"4800";"2550";"3750"
"Luxool";"BU02670110";"3650";".";"3450";"4550";"3750";"3700";"2950";"3700"
"Paasbos-West";"BU02670111";"3250";"2200";"3200";"3400";"3550";"3850";"2600";"3550"
"Paasbos-Oost";"BU02670112";"3100";"1800";"3150";"3300";"3900";"4500";"2300";"3800"
"Strijland-West";"BU02670113";"3450";".";"3300";"3550";"4650";"4100";"3000";"3650"
"Strijland-Oost";"BU02670114";"3200";"1650";"3150";"3450";"4000";"4050";"2550";"3700"
"Wijk 02 't Woud";"WK026702";"4950";".";"4200";".";"5250";"4900";"4850";"4950"
"Kruishaar";"BU02670201";"5200";".";".";".";"5550";"5150";"5100";"5200"
"Slichtenhorst";"BU02670202";"4700";".";".";".";"4450";"4750";"4700";"4700"
"Appel";"BU02670203";"4950";".";".";".";"5350";"4900";"4700";"5000"
"Prinsenkamp";"BU02670204";"5300";".";".";".";".";"5100";".";"5200"
"Wijk 03 Nijkerkerveen";"WK026703";"4150";"1700";"3150";"3350";"4250";"5100";"2950";"4650"
"Nijkerkerveen";"BU02670301";"4000";"1700";"3150";"3250";"4150";"5000";"2900";"4550"
"Holkerveen";"BU02670302";"4950";".";"3650";"4300";"4700";"5350";"3900";"5100"
"Wijk 04 Verspreide huizen Nijkerk";"WK026704";"5350";".";".";".";"3150";"5900";"4200";"5750"
"Arkemheen";"BU02670401";"4900";".";".";".";".";"5500";".";"5700"
"De Veenhuis Achterhoek";"BU02670402";"5800";".";".";".";".";"6200";".";"5800"
"Wijk 05 Hoevelaken";"WK026705";"3600";"2050";"3250";"3700";"3900";"4950";"2750";"3900"
"Horstbeek";"BU02670501";"3400";"2150";"3200";"3550";"3700";"4800";"2800";"3650"
"Overhorst";"BU02670502";"3650";"1900";"3500";"4050";"3850";"4850";"2450";"4100"
"Kleinhoven";"BU02670503";"3450";"1950";"3100";"3850";"4250";"4850";"2550";"3800"
"Hogenbrink";"BU02670504";"4050";"2150";"3450";"3550";"4200";"5200";"3300";"4250"
"Nijmegen";"GM0268";"2650";"2000";"3000";"3150";"3700";"4700";"2300";"3200"
"Wijk 01 Nijmegen-Centrum";"WK026801";"2300";"2200";"3350";"3350";"3950";".";"2150";"2600"
"Benedenstad";"BU02680100";"2200";"2000";"2800";"3000";".";".";"2200";"2500"
"Stadscentrum";"BU02680101";"2400";"2250";"4550";"4650";".";".";"2150";"2650"
"Wijk 02 Nijmegen-Oost";"WK026802";"2750";"2250";"3100";"3400";"3900";"5300";"2300";"3250"
"Bottendaal";"BU02680202";"2500";"2250";"2900";"3300";"4900";".";"2100";"2950"
"Galgenveld";"BU02680203";"3000";"2250";"3900";"4050";"3950";"4550";"2650";"3400"
"Altrade";"BU02680204";"2600";"2250";"3000";"3500";"3300";"6550";"2250";"2900"
"Hunnerberg";"BU02680205";"3350";"2650";"3850";"4300";"4250";"5300";"2650";"3650"
"Hengstdal";"BU02680206";"2450";"2050";"2700";"2800";"3100";"4000";"2150";"2950"
"Kwakkenberg";"BU02680207";"3750";"2750";"3500";"3200";"3800";"5900";"2950";"4850"
"Groenewoud";"BU02680208";"2300";".";"3000";"3200";"4000";"4650";".";"3450"
"Ooyse Schependom";"BU02680209";"2300";"2350";"2150";"2100";".";".";"2150";"2400"
"Wijk 03 Nijmegen-Oud-West";"WK026803";"2700";"2050";"2800";"2950";"3350";"4300";"2450";"2800"
"Biezen";"BU02680320";"2450";"2100";"2850";"2900";"3100";"4450";"2400";"2800"
"Wolfskuil";"BU02680321";"2800";"2000";"2750";"2950";"3600";"4150";"2550";"2800"
"Wijk 04 Nijmegen-Nieuw-West";"WK026804";"2500";"1800";"2950";"3100";"3500";"4200";"2100";"3050"
"Hees";"BU02680422";"2800";"1600";"2800";"3200";"3700";"4450";"2100";"3350"
"Heseveld";"BU02680423";"2350";"1750";"2800";"2950";"3050";"3400";"2050";"2750"
"Neerbosch-Oost";"BU02680424";"2450";"1850";"3150";"3200";"3900";"4150";"2100";"3300"
"Haven- en industrieterrein";"BU02680425";"3250";".";".";"1950";".";"4250";"2950";"3150"
"Wijk 05 Nijmegen-Midden";"WK026805";"2550";"1850";"2950";"3200";"3600";"4250";"2250";"3050"
"Nije Veld";"BU02680510";"2450";"1900";"2750";"3000";"3050";"3500";"2300";"2800"
"Hazenkamp";"BU02680511";"2850";"1800";"3100";"3350";"3750";"4550";"2300";"3000"
"Goffert";"BU02680512";"2650";"1900";"2750";"3150";"3850";"4550";"2400";"3550"
"St. Anna";"BU02680513";"2500";"1500";"3000";"3150";"3350";"4200";"1750";"3150"
"Heijendaal";"BU02680517";"2850";"2600";"3650";"3550";"3500";"4000";"2650";"3500"
"Wijk 06 Nijmegen-Zuid";"WK026806";"2350";"1750";"2600";"2750";"3450";"4300";"2100";"3000"
"Hatertse Hei";"BU02680614";"2450";"1700";"2650";"2850";"3300";"3800";"1950";"3000"
"Grootstal";"BU02680615";"2400";"1800";"2600";"2650";"3650";"4450";"2250";"3000"
"Hatert";"BU02680616";"2250";"1750";"2600";"2750";"3900";"4450";"2050";"2950"
"Brakkenstein";"BU02680618";"2750";"1950";"2550";"2750";"3400";"4500";"2250";"3200"
"Wijk 07 Dukenburg";"WK026807";"2650";"1950";"3100";"3250";"3500";"4100";"2350";"3250"
"Tolhuis";"BU02680731";"2750";"1700";"3250";"3250";".";"3400";"2550";"2950"
"Zwanenveld";"BU02680732";"2600";"1800";"3150";"3500";".";"4250";"2300";"3400"
"Meijhorst";"BU02680733";"2450";"2100";"2900";"3000";"3700";".";"2300";"3200"
"Lankforst";"BU02680734";"2700";"2200";"3100";"3300";"3600";"4900";"2350";"3300"
"Aldenhof";"BU02680735";"2650";"2000";"2900";"3050";"3150";"3700";"2400";"3300"
"Malvert";"BU02680736";"2650";"2300";"2900";"3150";".";".";"2550";"3200"
"Weezenhof";"BU02680737";"2800";"1700";"3100";"3350";"3500";"4150";"2200";"3550"
"Vogelzang";"BU02680738";".";".";".";".";".";".";".";"."
"Staddijk";"BU02680739";"4550";".";".";".";".";"4550";"4450";"4800"
"Wijk 08 Lindenholt";"WK026808";"3200";"2000";"3350";"3450";"3950";"4650";"2700";"3600"
"'t Acker";"BU02680840";"3150";"1900";"3350";"3350";"3900";"4300";"2750";"3550"
"De Kamp";"BU02680841";"3050";"2050";"3350";"3400";"3950";"5100";"2600";"3500"
"'t Broek";"BU02680842";"3400";"1750";"3350";"3650";"4050";"4750";"2850";"3850"
"Kerkenbos";"BU02680843";"3500";"3500";".";".";".";".";".";"3500"
"Westkanaaldijk";"BU02680847";".";".";".";".";".";".";".";"."
"Neerbosch-West";"BU02680848";"3800";".";".";".";"3850";"3250";"3300";"3800"
"Bijsterhuizen";"BU02680849";".";".";".";".";".";".";".";"."
"Wijk 09 Nijmegen-Noord";"WK026809";"3450";"2100";"3100";"3400";"4000";"4850";"2700";"3700"
"Oosterhout";"BU02680950";"3700";"2100";"3450";"3750";"4200";"4950";"2750";"3950"
"Ressen";"BU02680960";"4900";".";".";".";"4800";"5100";"4550";"5000"
"Lent";"BU02680970";"3250";"2100";"2900";"3100";"3700";"4800";"2650";"3500"
"Oldebroek";"GM0269";"3450";"2200";"2900";"3050";"3850";"4150";"2750";"3800"
"Wijk 00 Oldebroek";"WK026900";"3550";"2200";"2850";"3000";"4050";"4100";"2800";"3850"
"Oldebroek";"BU02690000";"3100";"2100";"2900";"3050";"3500";"4000";"2550";"3600"
"Bovenstreek";"BU02690001";"4050";".";".";".";"4200";"3850";"3200";"4050"
"Broekdijk";"BU02690002";"4450";".";"2900";"2850";"4800";"4250";"3900";"4450"
"'t Loo";"BU02690004";"3750";".";"2950";"3150";"4450";"4150";"3100";"4150"
"Verspreide huizen Oldebroek";"BU02690005";"3800";".";"2500";"2700";"4450";"4250";"3300";"3800"
"Verspreide huizen Oldebroekse Heide";"BU02690006";"4900";".";".";".";".";"4650";".";"4950"
"Verspreide huizen polder Oldebroek";"BU02690007";".";".";".";".";".";".";".";"."
"Verspreide huizen 't Loo";"BU02690008";"4200";".";".";".";"4750";"3900";"4850";"4050"
"Verspreide huizen heide 't Loo";"BU02690009";".";".";".";".";".";".";".";"."
"Wijk 01 Wezep";"WK026901";"3350";"2200";"2950";"3100";"3700";"4150";"2750";"3750"
"Wezep-Centrum";"BU02690100";"3000";"2250";"2800";"3000";"3300";"3850";"2650";"3500"
